Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Main Position,Keep
L. Ramazani,Valencia,Valencia,"RW, LAMF, AMF",25,5000000,30/06/2028,16,650,4,4.02,1,0.84,19.66,42.96,Belgium,"Belgium, Burundi",right,168,55,yes,5.26,4.57,45.45,1.25,22.22,0.14,0.23,0,3.05,4.96,1.8,4,0.55,0,0,4.71,0.55,1,0.14,0.56,0,0,22,3.05,40.91,18.182,0.14,3.18,26.09,1.25,33.33,1.94,21.43,0.69,4.02,62.07,11.49,46.99,3.74,2.77,0.14,21.46,2.08,1.38,26.45,70.68,7.62,61.82,5.54,90,7.48,68.52,22.02,77.99,1.38,50,16.23,10.71,0.12,0.97,0,0.14,0.69,20,0.42,3.05,72.73,2.91,42.86,0.83,33.33,1.11,1.25,5.95,76.74,0,,0,,0,0,0,0,,,0,,,0,0,0,0.28,3,100,Spain La Liga 2025-26,RW,keep
David Raya,Arsenal,Arsenal,GK,30,35000000,30/06/2028,30,3022,0,0,0,0,0.86,89.66,Spain,Spain,right,183,80,no,1.37,0.03,100,0.39,100,0,0,0,1.34,2.03,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,80,0,0,0,15.93,0.3,0.27,23.83,87.25,15.55,81.99,0.03,100,7.68,97.29,15.1,97.63,8.7,69.52,31.81,51.5,0,0,0,0.03,0,0,0,4.14,63.31,0.27,11.11,0.15,20,0,0,7.09,82.35,22,0.66,73,2.17,14,69.86,23.14,0.69,1.14,0.034,0,1.43,0.39,,,,0,0,0,England Premier League 2025-26,GK,Keep
V. van Dijk,Liverpool,Liverpool,LCB,34,30000000,30/06/2027,29,2943,3,3.72,0,0.04,10.52,69.48,Netherlands,"Netherlands, Suriname",right,193,92,no,5.08,1.8,69.49,6.3,70.87,0.03,0.05,0.52,3.79,5.97,0.4,4,0.12,0,0,0.31,0.09,3,0.09,0.11,3,0.09,23,0.7,39.13,13.043,0,0.06,0,0.06,0,0,0,0,0.06,50,0.43,57.14,1.16,1.16,0.03,47.06,0.31,0.4,60.7,91.03,26.02,82.96,2.6,96.47,25.75,97.74,55.5,94.71,5.14,52.38,20.38,47.51,0,0.06,0.03,0,0,0,0,11.99,79.08,0.83,33.33,0.52,29.41,0.31,0,9.54,83.01,0,,0,,0,0,0,0,,,1.74,,,0,0,0,0,0,0,England Premier League 2025-26,LCB,Keep
G. Vicario,Tottenham Hotspur,Tottenham Hotspur,GK,29,35000000,30/06/2028,29,2932,0,0,0,0,0.83,77.78,Italy,Italy,right,194,85,no,1.63,0.09,66.67,0.55,83.33,0.03,0.04,0,1.53,2.21,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,18.48,0.12,0.09,26.09,87.18,13.26,75.69,0,0,12,99.23,17.56,98.25,8.53,64.39,30.11,47.59,0,0,0,0,0,0,0,2.95,58.33,0.15,40,0.15,20,0.03,0,6.63,76.39,46,1.41,125,3.84,7,63.2,41.92,1.29,-4.08,-0.125,0,1.5,0.55,,,,0,0,0,England Premier League 2025-26,GK,Keep
D. Petrović,Bournemouth,Bournemouth,GK,26,20000000,30/06/2030,29,2919,0,0,0,0,0.83,84.62,Serbia,Serbia,right,194,89,no,1.47,0.1,33.33,0.7,90.91,0,0,0,1.44,1.99,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0.48,0.06,17.1,83.02,8.87,69.78,0,0,7.34,98.26,11.07,97.41,6.03,56.61,31.41,48.62,0,0,0,0,0,0,0,1.47,32.61,0.06,0,0.13,25,0,0,4.47,70,46,1.47,137,4.37,7,66.42,43.98,1.4,-2.02,-0.064,0,2.07,0.7,,,,0,0,0,England Premier League 2025-26,GK,Keep
B. Leno,Fulham,Fulham,GK,34,13000000,30/06/2027,29,2917,0,0,0,0,0.99,90.63,Germany,Germany,right,190,82,no,1.23,0.09,100,0.8,88.46,0,0,0,1.14,1.52,0,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,19.16,0.25,0.12,27.49,90.24,13.24,82.05,0.03,0,13.21,97.9,20.92,98.23,6.57,64.79,26.8,50.14,0,0,0,0,0,0,0,1.23,50,0.09,0,0.03,0,0,0,5.25,70.59,43,1.33,116,3.58,5,62.93,36.92,1.14,-6.08,-0.188,0,1.64,0.8,,,,0,0,0,England Premier League 2025-26,GK,Keep
B. Verbruggen,Brighton,Brighton,GK,23,18000000,30/06/2028,29,2915,0,0,0,0,0.62,80,Netherlands,Netherlands,right,194,75,no,1.02,0.09,33.33,0.4,92.31,0,0,0,0.99,1.4,0.06,3,0.09,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.09,100,0,0,0,22.75,0.31,0.06,31.49,87.35,14.63,74.47,0.03,0,14.54,98.94,23.62,98.95,7.81,52.96,28.05,50.45,0,0,0,0,0,0,0,3.67,46.22,0.37,16.67,0.4,61.54,0.03,0,5.31,69.19,36,1.11,118,3.64,6,69.49,34.11,1.05,-1.89,-0.058,0,1.2,0.4,,,,0,0,0,England Premier League 2025-26,GK,Keep
M. Dúbravka,Burnley,Burnley,GK,37,1000000,30/06/2026,29,2907,0,0,0,0,1.18,73.68,Slovakia,Slovakia,right,190,83,no,1.21,0.06,100,0.96,74.19,0,0,0,1.15,1.27,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,13.07,0.15,0.09,18.24,87.78,10.28,80.42,0.03,0,7.34,97.47,10.87,97.44,7.37,73.53,31.41,48.03,0,0,0,0,0,0,0,1.89,77.05,0.06,50,0.12,25,0.03,0,5.88,81.05,58,1.8,173,5.36,3,66.47,55.19,1.71,-2.81,-0.087,0,2.14,0.96,,,,0,0,0,England Premier League 2025-26,GK,Keep
D. Henderson,Crystal Palace,Crystal Palace,GK,28,12000000,30/06/2028,29,2904,0,0,0,0,0.84,77.78,England,England,right,188,85,no,1.15,0.06,50,0.62,95,0,0,0,1.12,1.36,0.03,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,13.39,0.15,0.12,19,80.42,11.56,69.17,0.03,100,6.51,99.05,9.92,98.44,9.02,61.17,35.99,52.91,0,0,0,0,0,0,0,4.21,56.62,0.28,55.56,0.37,33.33,0.09,0,6.76,78.9,35,1.08,121,3.75,10,71.07,40.4,1.25,5.4,0.167,0.03,1.64,0.62,,,,0,0,0,England Premier League 2025-26,GK,Keep
J. Bowen,West Ham United,West Ham United,"RW, RAMF, CF",29,50000000,30/06/2030,29,2886,8,7.4,4,4.41,19.52,42.97,England,"England, Wales",left,175,70,no,5.3,3.99,59.38,2.43,30.77,0.5,0.58,0.06,2.43,2.82,0.53,4,0.12,0,0,4.37,0.25,7,0.22,0.23,1,0.03,65,2.03,35.38,12.308,0.12,2.59,25.3,0.16,20,2.4,25.97,0.41,5.15,56.97,10.91,42.29,3.56,2.84,0.5,15.31,1.37,1.37,20.52,71.58,4.71,58.94,4.62,93.92,5.71,66.12,17.18,79.85,0.87,39.29,17.33,20.16,0.14,0.81,0.06,0,0.16,40,0.34,1.56,58,2,42.19,0.19,33.33,0.59,0.62,2.9,70.97,0,,0,,0,0,0,0,,,0.25,,,0.09,0.03,0,0.94,1,100,England Premier League 2025-26,RW,Keep
N. Milenković,Nottingham Forest,Nottingham Forest,RCB,28,15000000,30/06/2029,29,2877,0,1.15,0,0.98,11.17,66.39,Serbia,Serbia,right,195,90,no,6.41,3.22,74.76,3.82,60.66,0.09,0.12,0.81,3.91,4.8,0.41,6,0.19,0,0,0.06,0,0,0,0.04,0,0,12,0.38,8.33,0,0,0.06,0,0,0,0.06,0,0,0.03,100,0.72,47.83,0.53,0.28,0,23.34,0.22,0.56,37.07,89.2,13.45,77.67,2.63,95.24,16.8,97.02,32.31,93.42,4.69,61.33,20.8,36.76,0.03,0.06,0,0,0,0,0.03,4.22,70.37,0.28,33.33,0.31,50,0.13,0,5.44,68.39,0,,0,,0,0,0,0,,,1.72,,,0,0,0,0,0,0,England Premier League 2025-26,RCB,Keep
J. Pickford,Everton,Everton,GK,32,22000000,30/06/2029,29,2876,0,0,0,0,0.72,73.91,England,England,left,185,77,no,1.69,0.13,75,0.38,83.33,0,0,0,1.6,1.88,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,66.67,0,0,0,16.93,0.16,0.16,23.78,80.39,15.3,71.17,0,0,8.11,96.91,11.8,98.41,11.95,62.83,36.42,50.97,0,0,0,0,0,0,0,5.32,61.18,0.53,11.76,0.56,11.11,0.09,0,8.32,79.32,33,1.03,121,3.79,10,72.73,35.93,1.12,2.93,0.092,0,1.13,0.38,,,,0,0,0,England Premier League 2025-26,GK,Keep
J. Tarkowski,Everton,Everton,RCB,33,13000000,30/06/2028,29,2876,1,1.76,1,0.87,13.64,61.24,England,"England, Poland",right,185,81,no,8.26,3.38,72.22,6.01,59.9,0.22,0.26,1.06,5.6,6.61,0.66,5,0.16,0,0,0.28,0.03,1,0.03,0.06,1,0.03,10,0.31,40,10,0.03,0.25,50,0,0,0.25,50,0.06,0.06,50,1.13,41.67,0.81,0.56,0.06,23.16,0.19,0.88,35.46,83.14,15.99,72.21,2.1,97.01,14.11,94.46,29.48,89.07,5.73,54.1,21.83,40,0.03,0.22,0.03,0,0.06,0,0.09,5.82,63.44,0.88,32.14,1,40.63,0.53,0.13,7.67,71.43,0,,0,,0,0,0,0,,,1.69,,,0,0,0,0,0,0,England Premier League 2025-26,RCB,Keep
M. Rogers,Aston Villa,Aston Villa,"AMF, LAMF, LW",23,0,30/06/2031,29,2873,8,5.82,2,2.88,18.83,36.44,England,England,right,185,73,no,3.85,3.7,57.63,2.44,24.36,0.03,0.05,0.09,1.69,2.48,1.19,6,0.19,0,0,3.01,0.25,8,0.25,0.18,0,0,61,1.91,42.62,13.115,0.06,1.79,19.3,0.97,19.35,0.72,17.39,0.56,3.73,46.22,9.93,32.49,3.54,2.16,0.41,20.93,0.88,1.13,26.91,74.62,7.46,62.18,4.79,92.16,8.02,75,24.09,79.45,1.07,55.88,16.28,29.99,0.09,0.69,0.03,0,0.34,36.36,0.47,2.44,61.54,2.91,51.61,0.47,26.67,1.47,0.31,4.26,70.59,0,,0,,0,0,0,0,,,0.09,,,0.16,0.13,50,0.03,0,0,England Premier League 2025-26,AMF,Keep
A. Truffert,Bournemouth,Bournemouth,LB,24,18000000,30/06/2030,29,2867,0,0.34,1,1.54,17.01,52.77,Belgium,"Belgium, France",left,176,72,no,10.86,8.79,65.36,2.86,36.26,0.19,0.26,0.22,4.93,6.79,1.04,3,0.09,0,0,2.1,0,0,0,0.01,0,0,11,0.35,9.09,0,0.03,3.83,31.97,3.74,31.09,0.09,66.67,0.38,1.7,50,3.67,37.61,0.91,1.82,0.25,27.56,0.91,0.63,40.72,81.19,14.22,75.94,7.22,96.09,11.49,81.15,33.84,89.61,3.2,48.04,17.87,34.32,0.05,0.44,0,0.03,0,0,0.35,4.24,74.81,3.08,44.9,0.13,25,0.28,1.22,7.75,70.85,0,,0,,0,0,0,0,,,0.69,,,0.19,0,0,0,0,0,England Premier League 2025-26,LB,Keep
J. Garner,Everton,Everton,"RDMF, LDMF, RB",24,22000000,30/06/2030,29,2865,2,1.93,5,4.35,12.66,60.05,England,England,right,182,78,no,9.93,6.69,69.01,1.41,62.22,0.88,1.04,0.22,4.43,5.22,0.91,7,0.22,0,0,1.7,0.06,2,0.06,0.06,0,0,38,1.19,31.58,5.263,0.16,1.92,36.07,0.85,40.74,1.07,32.35,0.25,0.91,58.62,2.86,52.75,0.6,0.88,0.25,30.35,0.44,0.88,42.69,85.58,15.02,76.78,6.85,97.25,13.63,88.71,38.1,91.34,2.8,39.33,18.16,35.7,0.14,1.16,0.03,0,0.13,75,0.44,5.87,79.68,2.42,49.35,0.44,50,0.57,0.63,6.82,69.59,0,,0,,0,0,0,0,,,1.32,,,1.23,0.31,40,2.51,0,0,England Premier League 2025-26,RDMF,Keep
E. Anderson,Nottingham Forest,Nottingham Forest,LDMF,23,0,30/06/2029,29,2854,2,2.43,2,3.55,22.26,51.84,England,"England, Scotland",right,179,63,no,9.52,7.47,64.14,3.22,50.98,0.19,0.23,0.35,4.54,5.56,1.29,5,0.16,0,0,2.11,0.06,1,0.03,0.08,0,0,33,1.04,27.27,6.061,0.06,2.21,38.57,1.1,34.29,1.01,43.75,0.25,1.77,51.79,8.83,42.86,1.36,1.17,0.16,39.73,0.69,1.96,57.68,86.22,19.43,77.11,9.52,98.01,18.73,88.55,51.05,90.92,4.54,54.86,17.95,37.82,0.11,1.1,0.03,0.06,0.19,33.33,0.28,8.67,79.64,3,43.16,0.5,25,0.5,0.79,9.08,80.9,0,,0,,0,0,0,0,,,1.2,,,0.95,0.06,0,2.59,1,100,England Premier League 2025-26,LDMF,Keep
T. Mitchell,Crystal Palace,Crystal Palace,"LWB, LB",26,25000000,30/06/2027,29,2853,1,0.95,1,2.67,14.48,54.25,England,"England, Jamaica",left,175,65,no,9.81,6.81,69.44,1.7,33.33,0.09,0.12,0.28,4.98,6.12,0.6,4,0.13,0,0,1.89,0.03,1,0.03,0.03,0,0,11,0.35,36.36,9.091,0.03,3.12,31.31,3.03,31.25,0.06,50,0.28,1.55,51.02,4.07,40.31,1.42,1.26,0.22,20.38,1.26,0.6,29.62,71.25,8.83,50,7.7,93.44,8.14,77.91,22.93,81.57,3.66,40.52,20.39,32.47,0.08,0.73,0,0.09,0.03,0,0.47,2.43,48.05,2.46,42.31,0.28,55.56,0.35,0.95,5.84,56.76,0,,0,,0,0,0,0,,,0.95,,,0,0,0,0,0,0,England Premier League 2025-26,LWB,Keep
R. Roefs,Sunderland,Sunderland,GK,23,600000,30/06/2030,28,2819,0,0,0,0.13,0.93,86.21,Netherlands,Netherlands,left,192,72,no,1.5,0.06,0,0.67,90.48,0,0,0,1.5,1.81,0,3,0.1,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.1,100,0,0,0,16.7,0.19,0.32,26.4,85.97,14.08,75.28,0,0,11.3,98.59,17.46,99.09,8.88,60.79,31.8,51.33,0,0.03,0,0.03,0,0,0,3.45,59.26,0.38,33.33,0.51,43.75,0.16,0,6.48,78.82,34,1.09,124,3.96,8,72.58,37.63,1.2,3.63,0.116,0,2.55,0.67,,,,0,0,0,England Premier League 2025-26,GK,Keep
C. Kelleher,Brentford,Brentford,GK,27,20000000,30/06/2030,28,2812,0,0,0,0,0.64,75,Republic of Ireland,Republic of Ireland,right,188,74,no,1.47,0.13,25,0.29,88.89,0,0,0,1.44,1.87,0.06,1,0.03,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0.1,100,0,0,0,18.66,0.22,0.16,24.16,87.68,13.31,79.57,0,0,10.11,97.78,14.98,98.08,9.15,70.98,31.09,48.5,0,0,0,0,0,0,0,2.43,59.21,0.1,0,0.22,28.57,0,0,7.39,80.52,37,1.18,120,3.84,7,69.17,38.35,1.23,1.35,0.043,0,1.15,0.29,,,,0,0,0,England Premier League 2025-26,GK,Keep
Martín Zubimendi,Arsenal,Arsenal,"DMF, RDMF, RCMF",27,0,30/06/2030,30,2800,5,3.18,0,1.4,10.45,55.38,Spain,Spain,right,181,74,no,5.82,4.11,62.5,2.86,59.55,0.13,0.19,0.19,3.12,4.66,0.9,4,0.13,0,0,0.77,0.16,5,0.16,0.1,2,0.06,23,0.74,39.13,21.739,0,0.51,37.5,0.16,60,0.29,33.33,0.03,0.35,63.64,1.48,41.3,1,1.13,0.03,39.28,0.26,0.29,51.72,90.62,14.24,79.46,7.87,96.73,21.83,95.43,48.02,93.57,3.21,54,17.16,30.41,0.04,0.39,0.03,0.03,0.13,50,0.23,6.53,82.27,1.51,53.19,0.48,53.33,0.74,0.19,5.85,79.67,0,,0,,0,0,0,0,,,1.06,,,0,0,0,0,0,0,England Premier League 2025-26,DMF,Keep
A. Semenyo,Manchester City,Manchester City,"LAMF, RAMF, CF",26,0,30/06/2031,28,2799,15,10.92,2,3.09,21.35,39.16,England,"England, Ghana",right,185,79,no,4.92,4.53,52.48,4.12,40.63,0.1,0.14,0.13,2.44,3.56,1.51,6,0.19,0,0,3.63,0.48,14,0.45,0.35,0,0,64,2.06,56.25,23.438,0.06,1.48,28.26,1.06,27.27,0.39,33.33,0.26,3.86,50.83,9.55,34.34,2.93,2.77,0.39,17.01,1.8,0.58,21.35,79.22,4.28,68.42,7.14,91.44,6.21,75.65,18.91,85.03,1.13,40,17.51,29.85,0.1,1.03,0.06,0,0.19,50,0.42,1.61,58,2.12,59.09,0.32,40,1.16,0.39,2.64,74.39,0,,0,,0,0,0,0,,,0.1,,,0.06,0.06,50,0,2,50,England Premier League 2025-26,LAMF,Keep
E. Konsa,Aston Villa,Aston Villa,RCB,28,35000000,30/06/2028,28,2781,0,1.55,1,0.33,7.48,64.94,England,"England, Congo DR",right,183,77,no,5.53,2.23,76.81,1.68,61.54,0.16,0.24,0.65,3.66,5.34,0.36,0,0,1,0.03,0.26,0,0,0,0.05,0,0,8,0.26,25,0,0.03,0.16,0,0.03,0,0.13,0,0,0.26,75,1.97,55.74,0.68,0.87,0.06,40,0.23,0.91,51.52,94.22,16.31,88.29,3.66,100,24.4,98.01,48.71,96.68,2.69,54.22,18.03,35.72,0.01,0.16,0,0.03,0,0,0.03,4.82,82.55,0.58,27.78,0.45,28.57,0.19,0.03,4.56,70.21,0,,0,,0,0,0,0,,,2.75,,,0,0,0,0,0,0,England Premier League 2025-26,RCB,Keep
M. Senesi,Bournemouth,Bournemouth,LCB,28,22000000,30/06/2026,28,2769,0,1.58,4,2.29,15.21,57.05,Argentina,"Argentina, Italy",left,185,75,no,10.92,6.27,67.36,4.94,46.71,0.59,0.81,1.11,6.11,8.51,0.78,8,0.26,0,0,0.88,0,0,0,0.05,0,0,12,0.39,33.33,0,0.13,0.72,68.18,0.59,61.11,0.13,100,0.03,0.23,57.14,1.24,52.63,0.62,1.63,0.07,35.56,0.26,0.88,52.26,78.54,29.51,68.61,1.66,98.04,16.61,94.13,39.1,88.2,12.48,48.7,23.85,38.89,0.07,0.49,0.03,0,0.2,66.67,0.46,12.68,62.56,2.8,48.84,2.6,40,1.33,0.46,15.05,73.43,0,,0,,0,0,0,0,,,0.91,,,0,0,0,0,0,0,England Premier League 2025-26,LCB,Keep
D. Rice,Arsenal,Arsenal,"LDMF, LCMF",27,120000000,30/06/2028,29,2765,4,3.4,4,6.31,9.67,53.87,England,"England, Republic of Ireland",right,185,80,no,5.92,2.96,64.84,2.08,71.88,0.33,0.5,0.33,3.68,5.62,0.59,2,0.07,0,0,1.66,0.13,4,0.13,0.11,1,0.03,36,1.17,38.89,11.111,0.13,1.4,48.84,0.91,53.57,0.42,30.77,0.13,0.72,68.18,2.86,38.64,1.5,2.8,0.29,40.62,0.29,0.26,54.03,89.28,14.55,76.73,8.27,96.46,22.1,94.55,48.4,93.81,4.3,51.52,17.84,35.45,0.21,1.69,0.07,0.07,0.07,50,0.46,7.68,80.51,2.47,60.53,0.59,38.89,1.14,0.68,6.77,80.29,0,,0,,0,0,0,0,,,1.11,,,1.3,0.16,60,2.57,0,0,England Premier League 2025-26,LDMF,Keep
T. Chalobah,Chelsea,Chelsea,"LCB, RCB",26,13000000,30/06/2028,28,2765,3,2.22,0,0,12.6,58.66,Sierra Leone,"Sierra Leone, England",right,192,84,no,8.95,4.69,71.53,4.39,48.15,0.55,0.87,0.42,5.05,7.96,0.65,3,0.1,1,0.03,0.49,0.1,3,0.1,0.07,2,0.07,11,0.36,45.45,27.273,0,0.2,33.33,0.07,0,0.13,50,0.1,0.33,80,1.37,50,0.29,0.59,0.07,50.94,0.26,0.62,62.92,93.84,18.72,85.91,3.71,97.37,31.77,97.75,59.47,96.17,3.25,55,18.15,38.66,0,0,0,0.1,0,0,0,5.31,79.75,0.46,35.71,0.23,28.57,0.1,0.07,5.31,65.64,0,,0,,0,0,0,0,,,2.31,,,0,0,0,0,0,0,England Premier League 2025-26,LCB,Keep
Igor Thiago,Brentford,Brentford,CF,24,25000000,30/06/2031,29,2737,18,17.37,0,1.88,23.48,31.79,Brazil,"Brazil, Bulgaria",right,191,88,no,3.98,3.39,53.4,7.6,34.2,0.03,0.04,0.07,2.14,2.81,1.78,6,0.2,0,0,1.94,0.59,12,0.39,0.57,2,0.07,65,2.14,55.38,27.692,0,0.3,66.67,0.23,57.14,0.07,100,0.1,1.15,42.86,7.23,23.64,3.03,0.82,0.2,9.01,2.5,0.72,14.44,74.03,3.12,51.58,4.34,84.09,3.55,77.78,13.51,75.43,0.66,50,13.49,22.95,0.06,0.33,0.07,0,0.23,28.57,0.26,1.28,56.41,0.69,66.67,0.33,40,0.49,0.16,1.61,61.22,0,,0,,0,0,0,0,,,0,,,0,0,0,0,7,85.714,England Premier League 2025-26,CF,Keep
D. Szoboszlai,Liverpool,Liverpool,"AMF, RB, RAMF",25,0,30/06/2028,27,2726,4,3.33,3,4.3,12.68,54.43,Hungary,Hungary,right,186,74,no,6.44,5.74,62.64,1.42,39.53,0.1,0.16,0.33,2.74,4.38,0.76,6,0.2,1,0.03,2.25,0.13,4,0.13,0.11,0,0,52,1.72,34.62,7.692,0.1,2.31,28.57,0.3,22.22,1.95,30.51,0.26,1.29,74.36,3.5,50,1.39,1.98,0.1,42.23,0.86,0.73,54.54,86.92,15.15,78.87,10.76,96.01,18.85,90.02,48.73,91.6,3.6,59.63,18.36,41.07,0.14,1.52,0.03,0.07,0.07,50,0.4,7.23,79.91,3.24,54.08,0.46,28.57,1.22,0.63,7.73,76.5,0,,0,,0,0,0,0,,,0.96,,,1.32,0.33,40,2.31,1,0,England Premier League 2025-26,AMF,Keep
M. Kayode,Brentford,Brentford,RB,21,25000000,30/06/2030,28,2717,0,0.42,0,3.32,16.13,53.39,Italy,"Italy, Nigeria",right,179,69,no,7.88,6.43,59.79,2.09,57.14,0.17,0.22,0.26,3.88,5.04,0.63,6,0.2,0,0,2.09,0,0,0,0.01,0,0,7,0.23,28.57,0,0,1.66,38,0.07,50,1.56,36.17,0.23,2.32,58.57,5.96,43.89,0.53,1.62,0.43,21.53,1.06,1.29,30.54,84.92,8.68,70.61,8.15,97.15,8.41,89.37,27.13,89.87,1.85,53.57,17.39,34.61,0.11,0.93,0.07,0,0.1,33.33,0.33,2.48,66.67,1.46,52.27,0.1,0,0.3,0.6,4.84,59.59,0,,0,,0,0,0,0,,,1.16,,,0,0,0,0,0,0,England Premier League 2025-26,RB,Keep
Marc Guéhi,Manchester City,Manchester City,LCB,25,0,30/06/2031,27,2709,2,3.22,1,2.07,12.86,57.88,Côte d'Ivoire,"Côte d'Ivoire, England",right,182,82,no,7.67,3.85,65.52,4.75,58.74,0.33,0.42,0.53,4.82,6.06,0.6,5,0.17,0,0,0.56,0.07,2,0.07,0.11,1,0.03,21,0.7,38.1,9.524,0.03,0.43,30.77,0.4,25,0.03,100,0.1,0.3,55.56,2.19,48.48,1.1,1.89,0.07,38.37,0.27,0.76,51.76,89.02,21.96,80.94,3.29,98.99,20.2,94.24,46.15,93.66,5.18,52.56,19.24,38.25,0.07,0.27,0.03,0,0,0,0.2,7.67,76.19,1.1,36.36,0.5,26.67,0.43,0.17,8.94,75.84,0,,0,,0,0,0,0,,,1.76,,,0,0,0,0,0,0,England Premier League 2025-26,LCB,Keep
J. Timber,Arsenal,Arsenal,RB,24,0,30/06/2028,29,2700,3,3.87,4,1.53,15.47,55.6,Netherlands,"Netherlands, Curaçao",right,182,77,no,7.53,6.3,66.14,2.5,60,0.43,0.67,0.13,2.93,4.53,1.23,5,0.17,0,0,0.93,0.1,3,0.1,0.13,2,0.07,20,0.67,25,15,0.13,1.83,14.55,0.07,0,1.77,15.09,0.23,0.97,44.83,4.3,37.98,2.5,1.3,0.27,27.73,0.87,0.93,36.5,83.2,13.53,76.6,6.3,95.77,10.73,86.34,32.7,89.6,2.03,40.98,17.3,31.52,0.05,0.63,0.03,0.07,0.13,50,0.43,5.17,76.77,2.1,42.86,0.4,16.67,0.9,0.23,5.93,80.9,0,,0,,0,0,0,0,,,0.63,,,0,0,0,0.03,0,0,England Premier League 2025-26,RB,Keep
I. Konaté,Liverpool,Liverpool,RCB,26,45000000,30/06/2026,28,2687,1,1.11,0,0.55,14.27,63.85,France,"France, Mali",right,194,95,no,7.47,4.56,70.59,4.72,65.25,0.27,0.42,0.54,3.99,6.25,0.94,4,0.13,0,0,0.37,0.03,1,0.03,0.04,0,0,9,0.3,33.33,11.111,0,0.1,66.67,0,0,0.1,66.67,0,0.2,50,1.51,57.78,0.47,1.27,0.17,39.26,0.23,1.04,54.66,90.44,19.86,80.27,3.58,94.39,24.32,96.97,51.05,92.91,3.52,55.24,19.28,40.28,0.02,0.2,0,0,0.13,75,0.07,7.67,80.35,0.94,39.29,0.54,37.5,0.37,0.07,8.21,71.84,0,,0,,0,0,0,0,,,2.34,,,0,0,0,0,0,0,England Premier League 2025-26,RCB,Keep
