Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",League,Main Position,Keep
Y. Ayari,Brighton,Brighton,"LDMF, RDMF",22,4500000,30/06/2027,22,1903,3,2.49,1,0.8,13.53,48.95,Sweden,"Sweden, Tunisia",right,172,69,no,7.09,5.58,62.71,1.61,32.35,0.71,0.99,0.19,2.88,4.03,0.95,1,0.05,0,0,1.42,0.14,3,0.14,0.12,0,0,37,1.75,27.03,8.108,0.05,0.52,27.27,0.33,14.29,0.19,50,0,1.66,42.86,4.97,38.1,1.09,0.95,0.14,31.26,0.14,1.09,39.54,87.2,9.6,70.94,8.28,96.57,15.04,93.4,36.18,90.98,2.84,50,17.61,30.52,0.04,0.43,0.05,0.05,0.09,100,0.09,3.97,67.86,1.23,46.15,0.33,28.57,0.57,0.28,4.49,73.68,0,,0,,0,0,0,0,,,1.23,,,0.38,0.09,0,0.76,0,0,England Premier League 2025-26,LDMF,Keep
D. Spence,Tottenham Hotspur,Tottenham Hotspur,"LB, RB",25,8000000,30/06/2029,22,1896,0,1.29,0,1.26,16.28,45.77,England,"England, Jamaica",right,184,71,no,6.88,5.03,58.49,2.04,58.14,0.43,0.64,0.09,3.51,5.3,1.04,4,0.19,0,0,2.52,0,0,0,0.06,0,0,9,0.43,66.67,0,0,2.28,35.42,1.61,29.41,0.66,50,0.19,2.66,53.57,7.64,33.54,1.23,3.42,0.95,28.34,0.9,0.76,38.12,79.95,13.01,68.98,9.16,94.3,10.35,83.49,32.61,86.61,3.28,44.93,18.37,33.29,0.06,0.33,0.05,0,0.19,0,0.33,5.13,68.52,2.42,43.14,0.33,14.29,0.52,0.76,6.6,61.15,0,,0,,0,0,0,0,,,1.23,,,0,0,0,0,0,0,England Premier League 2025-26,LB,Keep
D. Gómez,Brighton,Brighton,"AMF, LDMF, LAMF",22,0,31/12/2026,26,1889,5,4.45,0,0.71,20.15,47.99,Paraguay,Paraguay,right,180,73,no,9.53,8.53,63.69,4.34,49.45,0.43,0.58,0.05,3.67,5,1.86,7,0.33,0,0,1.48,0.24,5,0.24,0.21,0,0,31,1.48,41.94,16.129,0,0.95,35,0.29,66.67,0.67,21.43,0.19,1.05,50,4.72,26.26,2.29,1,0.24,20.87,1.1,0.38,29.3,80.98,6.48,66.18,7.96,95.21,8.72,79.78,27.16,84.04,1.24,46.15,16.67,30.56,0.03,0.33,0,0,0.14,0,0.24,3.14,65.15,1.38,41.38,0.29,16.67,0.52,0.43,3.76,60.76,0,,0,,0,0,0,0,,,0.48,,,0.05,0.05,0,0.05,0,0,England Premier League 2025-26,AMF,Keep
C. Romero,Tottenham Hotspur,Tottenham Hotspur,RCB,27,65000000,30/06/2029,21,1885,4,1.76,1,0.26,14.13,63.51,Argentina,Argentina,right,185,79,no,9.26,5.78,67.77,4.92,65.05,0.67,0.99,0.53,4.68,6.9,1.29,9,0.43,2,0.1,0.62,0.19,4,0.19,0.08,3,0.14,13,0.62,46.15,30.769,0.05,0.14,33.33,0.1,50,0.05,0,0.05,0.29,83.33,1.58,45.45,1.1,0.67,0,31.27,0.33,0.57,45.74,88.62,17.38,78.57,3.15,95.45,19.48,96.32,42.25,90.96,3.34,61.43,19.74,39.14,0.01,0.14,0.05,0.1,0.05,100,0.1,5.01,67.62,0.81,41.18,0.72,26.67,0.38,0.05,7.59,71.7,0,,0,,0,0,0,0,,,2.34,,,0,0,0,0,0,0,England Premier League 2025-26,RCB,Keep
Y. Minteh,Brighton,Brighton,"RAMF, LAMF",21,0,30/06/2029,25,1872,1,3.31,4,3.64,20.53,44.03,Gambia,Gambia,left,180,65,no,5.24,4.52,61.7,2.02,33.33,0.34,0.49,0,2.12,3.1,0.87,0,0,0,0,5.34,0.05,1,0.05,0.16,0,0,32,1.54,25,3.125,0.19,4.62,28.13,1.2,36,3.27,25,0.67,6.83,51.41,11.97,41.77,4.47,3.17,0.43,17.55,2.93,0.87,23.37,61.52,3.94,52.44,4.23,85.23,8.94,53.23,17.55,71.78,1.3,40.74,18.29,23.95,0.17,1.35,0.1,0.05,0.24,60,0.77,1.59,54.55,3.7,36.36,0.38,37.5,1.15,1.25,4.18,68.97,0,,0,,0,0,0,0,,,0.34,,,0.05,0,0,1.06,0,0,England Premier League 2025-26,RAMF,Keep
K. Tete,Fulham,Fulham,RB,30,15000000,30/06/2028,21,1871,1,0.37,0,1.42,16.74,52.87,Netherlands,"Netherlands, Mozambique",right,180,71,no,9.76,6.83,65.49,2.26,53.19,0.87,1.18,0.24,4.43,6.01,0.96,2,0.1,0,0,1.39,0.05,1,0.05,0.02,0,0,11,0.53,27.27,9.091,0,1.54,53.13,0,0,1.54,53.13,0.19,0.82,52.94,4.23,44.32,0.67,0.87,0.05,30.83,0.43,1.54,41.56,82.64,16.5,73.47,7.31,96.05,10.29,88.79,36.22,87.65,3.99,46.99,17.25,32.33,0.07,0.43,0,0,0,0,0.34,4.14,67.44,2.02,57.14,0.34,14.29,0.24,0.77,7.6,58.86,0,,0,,0,0,0,0,,,1.15,,,0,0,0,0,0,0,England Premier League 2025-26,RB,Keep
M. Gusto,Chelsea,Chelsea,"RB, LB",22,35000000,30/06/2030,26,1858,2,1.24,3,1.84,12.93,48.31,France,"France, Portugal",right,178,76,no,7.75,5.57,63.48,1.36,21.43,0.97,1.49,0.05,3.25,5,0.68,3,0.15,1,0.05,1.21,0.1,2,0.1,0.06,1,0.05,11,0.53,45.45,18.182,0.15,1.79,21.62,0.34,14.29,1.4,20.69,0.15,0.92,52.63,3.63,38.67,1.74,1.31,0.15,35.6,1.16,0.58,46.4,85.8,14.43,76.51,11,96.92,13.61,86.48,42,90.31,2.66,56.36,17.3,32.45,0.09,0.73,0.05,0,0.24,40,0.34,4.7,77.32,2.23,52.17,0.53,45.45,1.02,0.48,6.59,67.65,0,,0,,0,0,0,0,,,1.07,,,0,0,0,0,0,0,England Premier League 2025-26,RB,Keep
Yéremy Pino,Crystal Palace,Crystal Palace,"AMF, LWF",23,30000000,30/06/2030,26,1843,2,4.31,0,3.6,17.04,37.82,Spain,Spain,right,172,65,no,5.27,5.81,49.58,2.78,33.33,0.24,0.29,0.1,2.15,2.58,1.22,4,0.2,0,0,2.3,0.1,2,0.1,0.21,0,0,34,1.66,26.47,5.882,0,1.61,45.45,1.32,44.44,0.24,60,0.29,2.44,38,6.4,31.3,2.93,1.42,0.39,22.66,1.37,0.93,31.35,74.61,10.35,65.57,7.28,89.93,8.11,71.69,27.59,78.76,2.15,43.18,16.9,23.97,0.18,1.37,0.05,0,0.39,50,0.73,3.52,52.78,3.13,51.56,0.78,37.5,1.71,0.78,4.79,74.49,0,,0,,0,0,0,0,,,0.93,,,1.27,0.15,33.33,1.66,0,0,England Premier League 2025-26,AMF,Keep
J. Henderson,Brentford,Brentford,"RDMF, DMF, RCMF",35,4000000,30/06/2027,27,1835,1,0.18,2,1.61,7.31,57.72,England,England,right,182,80,no,6.62,4.22,65.12,1.03,52.38,0.15,0.19,0.29,3.73,4.78,0.59,4,0.2,0,0,1.18,0.05,1,0.05,0.01,0,0,6,0.29,16.67,16.667,0.1,1.81,51.35,0.25,60,1.52,51.61,0.1,0.29,50,0.93,52.63,0.39,0.54,0.1,35.71,0.25,0.29,48.21,81.08,17.66,61.11,7.11,97.93,16.19,91.82,38.16,90.1,8.39,46.2,20.17,34.32,0.08,0.69,0,0,0.1,50,0.39,9.56,57.95,2.84,48.28,1.81,40.54,0.74,0.83,8.34,77.65,0,,0,,0,0,0,0,,,1.18,,,0.78,0,0,0.05,0,0,England Premier League 2025-26,RDMF,Keep
D. Welbeck,Brighton,Brighton,CF,35,5000000,30/06/2027,28,1834,10,8.33,0,1,13.05,34.21,England,"England, Ghana",right,185,73,no,3.48,3.48,52.11,2.5,37.25,0.05,0.07,0,1.62,2.35,1.08,4,0.2,0,0,1.37,0.49,9,0.44,0.41,1,0.05,36,1.77,47.22,27.778,0,0.2,0,0.1,0,0.05,0,0,0.88,61.11,4.51,25,3.29,0.49,0.05,13.79,0.83,0.34,17.37,80.51,1.91,69.23,5.2,86.79,4.42,86.67,16.98,81.79,0.2,50,12.55,5.59,0.05,0.49,0,0,0.05,0,0.15,1.08,77.27,0.39,62.5,0.05,0,0.54,0,0.83,58.82,0,,0,,0,0,0,0,,,0.05,,,0.1,0.1,50,0,3,33.333,England Premier League 2025-26,CF,Keep
